bvid,bullet_content,bullet_entry,bullet_time,bullet_crawler_time
BV1E14y1v724,浪费电。,67.05200,2022-09-16 13:35:57,2022-09-16 20:41:45
BV1E14y1v724,这不是浪费电,49.78500,2022-09-16 13:35:40,2022-09-16 20:41:45
BV1E14y1v724,啊？,48.57500,2022-09-16 13:34:13,2022-09-16 20:41:45
BV1E14y1v724,这不是猴猴的声音吗？,60.80900,2022-09-16 13:25:21,2022-09-16 20:41:45
BV1E14y1v724,省流：为了让国旗一直飘,2.32600,2022-09-16 13:24:31,2022-09-16 20:41:45
BV1E14y1v724,海信的科龙空调,28.56300,2022-09-16 13:07:43,2022-09-16 20:41:45
BV1E14y1v724,根本抢不到前排，人太多了,11.07000,2022-09-16 12:59:22,2022-09-16 20:41:45
BV1E14y1v724,吹国旗的,7.37900,2022-09-16 12:45:52,2022-09-16 20:41:45
BV1E14y1v724,我想知道这个空调是什么牌子的？,75.29900,2022-09-16 12:34:31,2022-09-16 20:41:45
BV1E14y1v724,去过一次，因为是2点钟去的，没抢到位置，太远了看不清有空调外机,1.49600,2022-09-16 12:26:38,2022-09-16 20:41:45
BV1E14y1v724,科龙空调。。xxxx(幻听),10.33900,2022-09-16 12:25:49,2022-09-16 20:41:45
BV1E14y1v724,格力的,2.35900,2022-09-16 12:15:40,2022-09-16 20:41:45
BV1E14y1v724,旗杆上有出风口，保证无风天气下国旗可以展开,14.17900,2022-09-16 12:01:48,2022-09-16 20:41:45
BV1E14y1v724,降温,11.53900,2022-09-16 12:01:37,2022-09-16 20:41:45
BV1E14y1v724,大国工匠,49.15600,2022-09-16 12:00:43,2022-09-16 20:41:45
BV1E14y1v724,这空调好突兀。。。。,9.49900,2022-09-16 11:58:46,2022-09-16 20:41:45
BV1E14y1v724,所以容易发热所以要降温,28.86200,2022-09-16 11:44:19,2022-09-16 20:41:45
BV1E14y1v724,关我屁事,6.94400,2022-09-16 11:41:35,2022-09-16 20:41:45
BV1E14y1v724,...,3.83900,2022-09-16 11:20:00,2022-09-16 20:41:45
BV1E14y1v724,这是否,52.54000,2022-09-16 11:11:57,2022-09-16 20:41:45
BV1E14y1v724,哈哈哈,33.64100,2022-09-16 11:11:19,2022-09-16 20:41:45
BV1E14y1v724,很多车间没有空调，但是车间的贵重电器都有空调,32.54200,2022-09-16 11:10:28,2022-09-16 20:41:45
BV1E14y1v724,就猜到有人杠,58.94400,2022-09-16 11:05:21,2022-09-16 20:41:45
BV1E14y1v724,电梯控制系统也要装空调降温的,75.65900,2022-09-16 10:58:31,2022-09-16 20:41:45
BV1E14y1v724,空调不就是这种作用吗？热了制冷，冷了制热,40.07400,2022-09-16 10:51:04,2022-09-16 20:41:45
BV1E14y1v724,电机散热？,22.99000,2022-09-16 10:44:43,2022-09-16 20:41:45
BV1E14y1v724,我说怎么一直无风自动呢,47.35900,2022-09-16 10:44:36,2022-09-16 20:41:45
BV1E14y1v724,怕旗杆中暑,3.89900,2022-09-16 10:34:08,2022-09-16 20:41:45
BV1E14y1v724,怎么不按个水冷,68.22600,2022-09-16 10:33:17,2022-09-16 20:41:45
BV1E14y1v724,，,61.46300,2022-09-16 10:14:35,2022-09-16 20:41:45
BV1E14y1v724,因为 步进电机便宜 。。,39.72100,2022-09-16 10:04:46,2022-09-16 20:41:45
BV1E14y1v724,为了给降温,32.44500,2022-09-16 09:58:27,2022-09-16 20:41:45
BV1E14y1v724,手动吧,20.14100,2022-09-16 09:46:45,2022-09-16 20:41:45
BV1E14y1v724,为什么要有牌子,76.41900,2022-09-16 09:32:10,2022-09-16 20:41:45
BV1E14y1v724,省流：给电动升旗台调节温度,2.68300,2022-09-16 08:53:03,2022-09-16 20:41:45
BV1E14y1v724,步进电机准确？步进电机就是不准确好吧，容易丢脉冲丢步。伺服电机才准确,27.34800,2022-09-16 08:50:32,2022-09-16 20:41:45
BV1E14y1v724,省流：为了给升旗台下系统冷却,2.15800,2022-09-16 08:38:19,2022-09-16 20:41:45
BV1E14y1v724,不知道 下一个视频,2.52500,2022-09-16 08:36:27,2022-09-16 20:41:45
BV1E14y1v724,那为什么不做进旗台里面去只留一个散热网或者散热窗,78.06800,2022-09-16 08:31:33,2022-09-16 20:41:45
BV1E14y1v724,50秒,64.22400,2022-09-16 08:18:35,2022-09-16 20:41:45
BV1E14y1v724,没去看过,12.48700,2022-09-16 08:17:39,2022-09-16 20:41:45
BV1E14y1v724,猜到了,47.05500,2022-09-16 08:02:29,2022-09-16 20:41:45
BV1E14y1v724,海尔的还是美的的。,11.09400,2022-09-16 07:54:11,2022-09-16 20:41:45
BV1E14y1v724,北京算是四季分明，冬天冷夏天热,66.62500,2022-09-16 07:53:39,2022-09-16 20:41:45
BV1E14y1v724,是不锈钢,25.36100,2022-09-16 07:52:56,2022-09-16 20:41:45
BV1E14y1v724,重复说一遍？',10.78400,2022-09-16 07:13:04,2022-09-16 20:41:45
BV1E14y1v724,节皱,36.15900,2022-09-16 06:54:09,2022-09-16 20:41:45
BV1E14y1v724,这台空调一生值了,77.94500,2022-09-16 06:31:40,2022-09-16 20:41:45
BV1E14y1v724,解密过，升降台下还有工作间,31.61900,2022-09-16 06:20:20,2022-09-16 20:41:45
BV1E14y1v724,！,38.27400,2022-09-16 05:54:59,2022-09-16 20:41:45
BV1E14y1v724,一直开着？,78.75700,2022-09-16 04:09:23,2022-09-16 20:41:45
BV1E14y1v724,心灵控制塔,35.23900,2022-09-16 04:09:17,2022-09-16 20:41:45
BV1E14y1v724,旗杆底部有个机房,44.17900,2022-09-16 03:40:12,2022-09-16 20:41:45
BV1E14y1v724,猜到了,54.36000,2022-09-16 03:32:32,2022-09-16 20:41:45
BV1E14y1v724,匀速有节奏？,49.91500,2022-09-16 03:24:52,2022-09-16 20:41:45
BV1E14y1v724,格力空调,11.36300,2022-09-16 03:06:38,2022-09-16 20:41:45
BV1E14y1v724,格力吗 ,74.61600,2022-09-16 02:40:47,2022-09-16 20:41:45
BV1E14y1v724,什么品牌空调,68.11700,2022-09-16 02:40:40,2022-09-16 20:41:45
BV1E14y1v724,什么品牌的空调,38.11600,2022-09-16 02:40:10,2022-09-16 20:41:45
BV1E14y1v724,什么品牌的,21.61500,2022-09-16 02:39:54,2022-09-16 20:41:45
BV1E14y1v724,风啊,11.61600,2022-09-16 02:39:44,2022-09-16 20:41:45
BV1E14y1v724,吹风,30.31500,2022-09-16 02:04:52,2022-09-16 20:41:45
BV1E14y1v724,废话好多啊,17.47000,2022-09-16 01:42:12,2022-09-16 20:41:45
BV1E14y1v724,什么给电机降温呢这玩意纯粹是给气概通风让奇异能飘起来,40.19000,2022-09-16 01:41:09,2022-09-16 20:41:45
BV1E14y1v724,这个是给旗杆的通风的,17.83200,2022-09-16 01:40:46,2022-09-16 20:41:45
BV1E14y1v724,这可不是空调吧,12.18800,2022-09-16 01:40:41,2022-09-16 20:41:45
BV1E14y1v724,难怪,52.60000,2022-09-16 01:39:58,2022-09-16 20:41:45
BV1E14y1v724,什么牌子得空调呢？,64.01900,2022-09-16 01:31:10,2022-09-16 20:41:45
BV1E14y1v724,液冷,65.29900,2022-09-16 01:11:28,2022-09-16 20:41:45
BV1E14y1v724,科龙空调的标志,18.91000,2022-09-16 01:04:46,2022-09-16 20:41:45
BV1E14y1v724,不是格力，这是科龙空调。,36.67400,2022-09-16 01:01:45,2022-09-16 20:41:45
BV1E14y1v724,科龙空调。,26.12400,2022-09-16 01:01:10,2022-09-16 20:41:45
BV1E14y1v724,这标志是科龙空调啊，我老家有一台,6.54800,2022-09-16 00:58:30,2022-09-16 20:41:45
BV1E14y1v724,空调品牌是科龙，国货之光,0.98800,2022-09-16 00:57:52,2022-09-16 20:41:45
BV1E14y1v724,空调品牌：科龙,9.01200,2022-09-16 00:57:33,2022-09-16 20:41:45
BV1E14y1v724,是伺服电机啊,26.94200,2022-09-16 00:57:10,2022-09-16 20:41:45
BV1E14y1v724,能不能把普通话说好,54.70500,2022-09-16 00:39:42,2022-09-16 20:41:45
BV1E14y1v724,因为装不下两台,6.10500,2022-09-16 00:35:35,2022-09-16 20:41:45
